6.810161892352464;0.0	9.301323940345585;0.0	11.388250131588494;0.0	11.632999080249288;0.0	10.902504067247257;0.0	
6.5658111086126025;0.0	9.556004706767148;0.0	11.046900362513396;0.0	11.714228043296579;0.0	10.695069205512057;0.0	
6.859614781639621;0.0	9.466390890355052;0.0	10.806179910364545;0.0	10.887697925368533;0.0	9.59687514751727;0.0	
8.011447976193562;0.0	10.376979766955309;0.0	10.96699447477866;0.0	12.11315002235331;0.0	10.896979200741916;0.0	
5.4674760587298135;0.0	9.430641405555994;0.0	11.299886275724239;0.0	12.213014308407963;0.0	10.446615599537187;0.0	
7.9643048596789265;0.0	10.130392364639198;0.0	10.47484531685123;0.0	11.38161180486456;0.0	10.075759969944384;0.0	
7.51783636032757;0.0	9.520908639412587;0.0	11.247377456841422;0.0	11.90766833895044;0.0	10.627962970122649;0.0	
7.734890075689988;0.0	10.22903367500037;0.0	11.441213190973226;0.0	12.21106511576259;0.0	10.757546033001402;0.0	
9.437913967055833;0.0	9.694160174879626;0.0	11.341213449898687;0.0	11.009576183957908;0.0	10.265563591341953;0.0	
8.15434577776366;0.0	9.866454592499531;0.0	10.276989154455302;0.0	10.331437321705714;0.0	10.628451675858349;0.0	
9.718748507850922;0.0	9.968788202326348;0.0	10.050933067715187;0.0	9.781843273823384;0.0	11.619254304220705;0.0	
7.285117081274631;0.0	10.008918715498499;0.0	9.712243094197536;0.0	10.005798630880193;0.0	10.440609114030718;0.0	
8.62527535412672;0.0	10.31458068370749;0.0	9.960010671750409;0.0	10.589691595154864;0.0	10.339229613018968;0.0	
9.260085417742614;0.0	10.583505899093254;0.0	10.298379986766609;0.0	10.270786516258168;0.0	10.537260784801095;0.0	
8.178746162062945;0.0	9.963265199824903;0.0	10.143449221966948;0.0	9.972734844561367;0.0	9.767687098029043;0.0	
8.740314839835584;0.0	9.710616050061084;0.0	9.196698017375258;0.0	9.766688175773988;0.0	9.934724180159847;0.0	
8.55507475672196;0.0	9.85720496048007;0.0	11.101915187901412;0.0	9.861502595906789;0.0	9.237806750666024;0.0	
8.561709747546413;0.0	9.689775798990684;0.0	11.468839856641035;0.0	11.309055433755539;0.0	10.225779448039914;0.0	
8.239207733895435;0.0	10.025647882785881;0.0	11.163697034685834;0.0	11.644206112441056;0.0	10.645419121518874;0.0	
7.103509743365914;0.0	9.720288769634218;0.0	11.614875128400849;0.0	10.93758917826728;0.0	10.53479664586766;0.0	
5.299235090854895;0.0	9.615307597133219;0.0	11.520254294848273;0.0	11.571643512040344;0.0	10.713263248522143;0.0	
7.384163093109542;0.0	9.845724524276825;0.0	10.40055788299522;0.0	11.665475368884614;0.0	11.064330787325353;0.0	
7.700747610188321;0.0	9.914805358080393;0.0	11.295373286495705;0.0	11.284735032234893;0.0	10.71904809562665;0.0	
6.563459723108197;0.0	8.75479018315869;0.0	10.250189861947295;0.0	10.442623603742103;0.0	9.260587654995506;0.0	
7.7870169313289015;0.0	10.227336608784746;0.0	11.362451404539337;0.0	11.515155006890152;0.0	10.860836660122967;0.0	
6.227111934938671;0.0	9.391770026062838;0.0	11.424582952923188;0.0	12.091327225727042;0.0	10.548771582345957;0.0	
6.247288551518439;0.0	9.199999457469772;0.0	10.857958295583039;0.0	11.546185556964286;0.0	10.394611300185641;0.0	
7.669607039124665;0.0	10.20260588641283;0.0	10.817143481615242;0.0	11.280140123051934;0.0	11.103389254783686;0.0	
5.965251286890109;0.0	9.221587401476782;0.0	11.618067690252072;0.0	12.041886283240613;0.0	10.727538101232355;0.0	
8.411757821687702;0.0	9.599735219343463;0.0	11.363446917277384;0.0	11.877531363521419;0.0	10.812930878063051;0.0	
8.980251756784122;0.0	10.109677412936257;0.0	10.249877441642727;0.0	10.203616125571125;0.0	10.653757229753325;0.0	
9.20384964106629;0.0	9.866502804900096;0.0	9.749257887390808;0.0	10.444442235662322;0.0	11.233516848110318;0.0	
9.839171545510007;0.0	10.373608105271833;0.0	9.962903067152928;0.0	10.243208499181412;0.0	11.189348681245898;0.0	
8.811531228108347;0.0	10.231419573947006;0.0	9.70823606659326;0.0	10.182543566406645;0.0	10.138219707584561;0.0	
9.354335026408123;0.0	10.124315955962476;0.0	10.4812859847967;0.0	10.703532585755038;0.0	10.745856999965506;0.0	
8.772644060632762;0.0	10.428848340801462;0.0	9.206792799299242;0.0	10.479484568733657;0.0	10.856655312838194;0.0	
7.779336375029684;0.0	9.246897566925211;0.0	10.299637415749455;0.0	9.551867295059536;0.0	9.625422583005752;0.0	
6.171077621204555;0.0	9.468067100708193;0.0	9.373530074775;0.0	9.653138957790253;0.0	9.014593659960806;0.0	
7.792689419576012;0.0	9.730174002159755;0.0	11.975057489243616;0.0	10.485559933410206;0.0	9.266631671974874;0.0	
6.823777344285614;0.0	9.310393922841143;0.0	10.998036470862907;0.0	11.637217330463342;0.0	10.199933239807484;0.0	
6.534552241290083;0.0	9.862881091033685;0.0	11.510133384318157;0.0	11.750002209059613;0.0	10.834116106799655;0.0	
7.054579678100694;0.0	9.788656357904957;0.0	11.777831179562837;0.0	11.05877467794128;0.0	10.513950502487498;0.0	
6.967085625587546;0.0	9.37768731834284;0.0	11.569763907399363;0.0	10.844266771141335;0.0	10.281602784441928;0.0	
8.217237630031425;0.0	9.782067012196453;0.0	12.224492766977411;0.0	10.757957549422475;0.0	10.24874124377077;0.0	
7.548063449468092;0.0	9.887618806834729;0.0	10.982931980373245;0.0	11.79702273646306;0.0	11.068864232487536;0.0	
6.958422726061217;0.0	9.450261075190632;0.0	10.83015331198197;0.0	10.390616019432896;0.0	9.654043476274614;0.0	
8.10517399741358;0.0	10.065385071173896;0.0	11.184905186947095;0.0	11.68476341696295;0.0	10.688890212084566;0.0	
7.688831074326821;0.0	9.565330656095805;0.0	11.720792440773327;0.0	11.280729052752477;0.0	10.240959971621292;0.0	
7.059007905288696;0.0	10.167902818531937;0.0	10.78983247936081;0.0	10.391456801203889;0.0	10.17876287501;0.0	
7.839544031231223;0.0	9.91050166847612;0.0	10.785424799701143;0.0	12.01303711796668;0.0	10.94324914269495;0.0	
8.022100895201623;0.0	9.630286407210788;0.0	11.569580697201168;0.0	11.987636646125003;0.0	10.122874448128332;0.0	
6.432644237767842;0.0	9.62962015861912;0.0	10.727729137560932;0.0	11.226440510412235;0.0	9.75893985622028;0.0	
8.011626638397622;0.0	10.154617312638111;0.0	11.233608998184748;0.0	11.518422709556889;0.0	10.67950555832154;0.0	
6.7517419533292165;0.0	9.444661558701686;0.0	11.102470740245245;0.0	12.221219087182723;0.0	10.431613495829062;0.0	
8.686221813212406;0.0	9.680124679072888;0.0	10.372221809231945;0.0	12.211657880500933;0.0	9.711629076535123;0.0	
8.721280643088713;0.0	10.43874436650047;0.0	10.461889651137811;0.0	11.243409640565906;0.0	9.283221660685975;0.0	
8.39417870096664;0.0	9.911888285694921;0.0	11.3947299664402;0.0	11.630649146394644;0.0	9.979345470096689;0.0	
8.782602193239846;0.0	9.83174192893535;0.0	10.564031785812483;0.0	11.917932053829285;0.0	9.947709905411836;0.0	
8.497631671682914;0.0	10.263079843555444;0.0	10.50226152595835;0.0	11.658148022169971;0.0	9.648797983968759;0.0	
8.934333517926026;0.0	10.414386475703992;0.0	11.21026103922773;0.0	10.532098135907864;0.0	9.672253366682687;0.0	
8.254921107662353;0.0	9.949163151828367;0.0	10.254495346941736;0.0	12.085576427421897;0.0	9.831633944217193;0.0	
7.731034006898675;0.0	9.82033390549818;0.0	10.663353321079315;0.0	12.461701489442117;0.0	9.381380981697397;0.0	
7.2036701435446355;0.0	10.33714442987599;0.0	10.336240837655051;0.0	11.676790572891512;0.0	9.327982930869299;0.0	
8.012296969558065;0.0	9.760210222061499;0.0	10.565276639406644;0.0	11.221680217204767;0.0	9.954641363598093;0.0	
8.124966064957263;0.0	9.850146488010322;0.0	10.648477834768347;0.0	12.268044159022491;0.0	10.384377606640692;0.0	
8.941009864195223;0.0	10.111163821274902;0.0	11.052547019515803;0.0	12.001851279515053;0.0	10.607525767220922;0.0	
8.920872826871836;0.0	10.779231705455304;0.0	11.006054963028019;0.0	10.735225329433632;0.0	10.641494093621507;0.0	
8.972398384617664;0.0	10.169760850412505;0.0	11.700562723381765;0.0	10.903321161972505;0.0	9.92591159359939;0.0	
6.504416852970396;0.0	10.20468505580822;0.0	10.603031365849343;0.0	11.303010802703179;0.0	11.032560169566377;0.0	
8.394852958817598;0.0	9.61178790360275;0.0	10.107613591398493;0.0	10.733833276038082;0.0	10.957948335096741;0.0	
8.500038658593636;0.0	10.09205936245168;0.0	11.264849702294738;0.0	10.612848740688769;0.0	10.069255936402406;0.0	
8.638449885366885;0.0	9.971869655145017;0.0	11.84858845380583;0.0	10.965816552146205;0.0	10.263175545642243;0.0	
8.155690939196235;0.0	9.755883289760106;0.0	11.806422702424747;0.0	9.951894614992156;0.0	9.525830461495943;0.0	
8.861092288540357;0.0	9.902658131026243;0.0	11.860661070114714;0.0	10.004254189091197;0.0	9.834749661054328;0.0	
8.797894763599688;0.0	9.944032777260912;0.0	11.418030330361313;0.0	10.95713603790689;0.0	9.430679675895226;0.0	
8.508387983517478;0.0	10.087842687781423;0.0	11.112192126216483;0.0	10.523205092535601;0.0	10.732091534158902;0.0	
8.96465519760359;0.0	10.098586562528332;0.0	10.328894362895866;0.0	11.816941240698432;0.0	10.065094050932961;0.0	
9.132002152780792;0.0	9.890070686409171;0.0	10.472189508919607;0.0	11.119248032550004;0.0	9.442453803850109;0.0	
8.441318782466436;0.0	9.579255069124876;0.0	10.148807836847864;0.0	11.423151378191811;0.0	9.668538080437814;0.0	
7.397474708360533;0.0	9.854926780482138;0.0	10.70397118140951;0.0	11.114364749088631;0.0	9.150682949924173;0.0	
7.469295788153208;0.0	9.686821094870929;0.0	11.029746154782197;0.0	10.516192762451563;0.0	9.35797559163115;0.0	
8.616521528605563;0.0	10.545124165260498;0.0	11.896743017943642;0.0	10.99752900786544;0.0	9.650138348392518;0.0	
8.868577484256624;0.0	11.280387044238525;0.0	10.905179168560283;0.0	11.8756706019925;0.0	10.247145744597107;0.0	
9.499906925837799;0.0	10.118547901236314;0.0	11.923168990647007;0.0	11.349631420272912;0.0	10.192312622694635;0.0	
